X,Y,UNION,JURISDICCI,CAPITAL,FUENTE,XCOORD,YCOORD
4539891.99999511,6674571.4996075192,-2147483648,CORDOBA,CORDOBA,IGN,4539891.999995,6674571.499608
4540285.99999506,6674366.4996073944,-2147483648,CORDOBA,CORDOBA,IGN,4540285.999995,6674366.499607
4540295.499995058,6674186.9996072827,-2147483648,CORDOBA,CORDOBA,IGN,4540295.499995,6674186.999607
4540125.99999508,6674020.499607184,-2147483648,CORDOBA,CORDOBA,IGN,4540125.999995,6674020.499607
4540167.499995071,6673837.9996070666,-2147483648,CORDOBA,CORDOBA,IGN,4540167.499995,6673837.999607
4540413.99999505,6673802.9996070536,-2147483648,CORDOBA,CORDOBA,IGN,4540413.999995,6673802.999607
4540724.499995006,6673917.9996071225,-2147483648,CORDOBA,CORDOBA,IGN,4540724.499995,6673917.999607
4541214.499994947,6673533.9996068841,-2147483648,CORDOBA,CORDOBA,IGN,4541214.499995,6673533.999607
4541320.499994934,6673408.9996068096,-2147483648,CORDOBA,CORDOBA,IGN,4541320.499995,6673408.999607
4541441.99999492,6673363.9996067854,-2147483648,CORDOBA,CORDOBA,IGN,4541441.999995,6673363.999607
4541553.9999949,6673303.4996067472,-2147483648,CORDOBA,CORDOBA,IGN,4541553.999995,6673303.499607
4541592.499994894,6673216.9996066969,-2147483648,CORDOBA,CORDOBA,IGN,4541592.499995,6673216.999607
4541589.499994898,6672982.9996065488,-2147483648,CORDOBA,CORDOBA,IGN,4541589.499995,6672982.999607
4542095.499994836,6672521.9996062694,-2147483648,CORDOBA,CORDOBA,IGN,4542095.499995,6672521.999606
4542091.99999483,6672188.9996060673,-2147483648,CORDOBA,CORDOBA,IGN,4542091.999995,6672188.999606
4542098.49999483,6671990.4996059369,-2147483648,CORDOBA,CORDOBA,IGN,4542098.499995,6671990.499606
4542063.499994837,6671746.9996057879,-2147483648,CORDOBA,CORDOBA,IGN,4542063.499995,6671746.999606
4541950.99999485,6671490.4996056352,-2147483648,CORDOBA,CORDOBA,IGN,4541950.999995,6671490.499606
4541992.99999484,6671343.4996055467,-2147483648,CORDOBA,CORDOBA,IGN,4541992.999995,6671343.499606
4542159.499994827,6671122.499605407,-2147483648,CORDOBA,CORDOBA,IGN,4542159.499995,6671122.499605
4542274.499994806,6670689.9996051472,-2147483648,CORDOBA,CORDOBA,IGN,4542274.499995,6670689.999605
4542264.99999481,6670507.4996050326,-2147483648,CORDOBA,CORDOBA,IGN,4542264.999995,6670507.499605
4542117.99999482,6670334.4996049246,-2147483648,CORDOBA,CORDOBA,IGN,4542117.999995,6670334.499605
4542111.499994826,6669975.9996047029,-2147483648,CORDOBA,CORDOBA,IGN,4542111.499995,6669975.999605
4542104.99999482,6669793.4996045912,-2147483648,CORDOBA,CORDOBA,IGN,4542104.999995,6669793.499605
4541963.99999484,6669046.9996041367,-2147483648,CORDOBA,CORDOBA,IGN,4541963.999995,6669046.999604
4541790.99999486,6668723.4996039364,-2147483648,CORDOBA,CORDOBA,IGN,4541790.999995,6668723.499604
4541665.99999487,6668416.4996037399,-2147483648,CORDOBA,CORDOBA,IGN,4541665.999995,6668416.499604
4541662.99999488,6668130.9996035676,-2147483648,CORDOBA,CORDOBA,IGN,4541662.999995,6668130.999604
4541400.499994903,6667746.9996033339,-2147483648,CORDOBA,CORDOBA,IGN,4541400.499995,6667746.999603
4541438.9999949,6667554.9996032109,-2147483648,CORDOBA,CORDOBA,IGN,4541438.999995,6667554.999603
4541377.9999949,6667304.9996030582,-2147483648,CORDOBA,CORDOBA,IGN,4541377.999995,6667304.999603
4541198.499994925,6667253.9996030321,-2147483648,CORDOBA,CORDOBA,IGN,4541198.499995,6667253.999603
4541067.499994946,6667263.4996030359,-2147483648,CORDOBA,CORDOBA,IGN,4541067.499995,6667263.499603
4540849.499994968,6667250.4996030219,-2147483648,CORDOBA,CORDOBA,IGN,4540849.499995,6667250.499603
4540823.99999498,6667077.4996029185,-2147483648,CORDOBA,CORDOBA,IGN,4540823.999995,6667077.499603
